Date,Open,High,Low,Close,Adj Close,Volume
,PTPI,PTPI,PTPI,PTPI,PTPI,PTPI
2022-06-29,226.0,226.0,202.5,211.25,211.25,1376
2022-06-30,211.5,211.5,205.0,210.0,210.0,356
2022-07-01,207.5,212.5,205.0,205.0,205.0,239
2022-07-05,205.0,212.5,200.0,210.0,210.0,766
2022-07-06,201.75,212.5,201.75,207.0,207.0,214
2022-07-07,202.5,225.0,202.5,217.5,217.5,1112
2022-07-08,214.75,220.0,207.5,217.5,217.5,208
2022-07-11,205.0,218.0,205.0,210.5,210.5,159
2022-07-12,205.5,211.25,204.25,208.75,208.75,179
2022-07-13,207.5,211.0,205.0,206.75,206.75,102
2022-07-14,210.0,217.5,202.5,212.5,212.5,441
2022-07-15,207.0,215.0,205.0,205.75,205.75,106
2022-07-18,205.25,211.25,202.5,202.5,202.5,362
2022-07-19,202.5,222.5,202.5,208.75,208.75,448
2022-07-20,207.5,234.5,203.75,234.25,234.25,953
2022-07-21,235.25,250.0,230.0,238.25,238.25,777
2022-07-22,231.0,231.0,208.25,213.25,213.25,924
2022-07-25,210.0,230.0,205.75,208.75,208.75,202
2022-07-26,210.0,210.25,190.5,193.75,193.75,1033
2022-07-27,200.0,202.5,191.75,199.0,199.0,269
2022-07-28,712.5,720.0,167.5,205.0,205.0,149130
2022-07-29,197.5,241.25,186.25,198.5,198.5,17107
2022-08-01,195.75,202.5,188.0,202.5,202.5,3628
2022-08-02,192.25,200.0,186.25,191.25,191.25,2414
2022-08-03,192.5,199.5,187.75,194.0,194.0,1871
2022-08-04,192.5,198.25,190.0,198.0,198.0,1789
2022-08-05,196.25,200.0,190.5,197.5,197.5,1529
2022-08-08,192.5,197.5,190.0,192.5,192.5,1424
2022-08-09,187.5,198.0,185.0,197.75,197.75,2053
2022-08-10,197.5,197.5,190.0,197.25,197.25,577
2022-08-11,197.25,198.5,190.0,192.5,192.5,857
2022-08-12,197.5,197.5,187.5,194.75,194.75,482
2022-08-15,195.5,205.0,195.5,201.25,201.25,2638
2022-08-16,198.75,200.0,192.5,195.0,195.0,1162
2022-08-17,197.5,198.75,190.0,191.75,191.75,481
2022-08-18,190.25,195.0,182.5,187.5,187.5,816
2022-08-19,187.5,191.25,180.0,189.75,189.75,490
2022-08-22,185.0,185.0,172.5,175.0,175.0,1160
2022-08-23,173.75,175.0,172.5,174.25,174.25,398
2022-08-24,175.0,175.0,168.25,172.5,172.5,476
2022-08-25,172.5,180.0,170.0,175.75,175.75,639
2022-08-26,172.5,180.0,167.75,172.5,172.5,530
2022-08-29,172.75,175.25,167.75,172.5,172.5,158
2022-08-30,170.75,179.0,165.0,171.25,171.25,288
